ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3008111,86579,31,5842,582,0.0,4.12,6123,0,30005,30005,0,2934,1582940,4.33,4.43,5.0
3008119,29053,55,6081,1274,0.0,3.91,6213,0,30003,30003,0,2903,1551292,4.33,3.93,5.0
3008120,30692,51,6896,1332,0.0,3.89,6853,0,30004,30004,0,2934,1604492,4.33,3.89,5.0
3008126,72800,34,6319,673,0.0,4.09,6589,0,30004,30004,0,2903,1559732,4.33,4.36,5.0
3008150,85098,54,5855,853,0.0,4.04,6425,0,30021,30021,0,2903,1600292,4.33,4.23,5.0
3008152,97925,28,5970,617,0.0,4.11,6336,0,30014,30014,0,2903,1811692,4.33,4.4,5.0
3008155,21105,57,5735,1479,0.0,3.85,5691,0,30002,30002,0,2966,1587496,4.34,3.79,5.0
3008165,26796,51,5853,1352,0.0,3.89,5971,0,30003,30003,0,2966,1582132,4.34,3.87,5.0
3008171,41896,53,5890,1021,0.0,3.98,6071,0,30002,30002,0,2903,1534492,4.33,4.1,5.0
3008209,34567,47,6010,1104,0.0,3.96,6019,0,30004,30004,0,2903,1549692,4.33,4.04,5.0
3008215,30472,84,6049,1631,0.0,3.81,5976,0,30004,30004,0,2966,1578396,4.34,3.69,5.0
3008222,75335,70,3608,1279,0.0,3.91,3815,0,30003,30003,0,2966,1673132,4.34,3.92,5.0
3008232,19804,74,6074,1681,0.0,3.79,6068,0,30005,30005,0,2934,1571792,4.33,3.66,5.0
3008244,25444,26,6023,997,0.0,3.99,6026,0,30020,30020,0,2934,1541892,4.33,4.12,5.0
3008256,44659,52,6053,947,0.0,4.01,6371,0,30006,30006,0,2903,1552688,4.33,4.16,5.0
3008262,76949,61,5093,956,0.0,4.0,5834,0,30005,30005,0,2903,1592502,4.33,4.15,5.0
3008285,22039,32,5826,1585,0.0,3.82,5818,0,30015,30015,0,2903,1544267,4.33,3.72,5.0
3008287,16887,77,6147,1952,0.0,3.71,6261,0,30002,30002,0,2934,1575559,4.33,3.49,5.0
3008298,17027,48,5971,1799,0.0,3.75,6013,0,30006,30006,0,2903,1527592,4.33,3.58,5.0
3008301,9343,76,5751,3015,0.0,3.39,5692,0,30012,30012,0,2903,1536692,4.33,2.91,5.0
3008310,54477,94,6134,1634,0.0,3.8,6308,0,30004,30004,0,2903,1594692,4.33,3.69,5.0
3008314,19206,64,5929,1538,0.0,3.83,6049,0,30004,30004,0,2903,1551096,4.33,3.75,5.0
3008327,26359,70,5802,1428,0.0,3.86,5999,0,30003,30003,0,2903,1530292,4.33,3.82,5.0
3008341,26700,27,6154,1078,0.0,3.97,6177,0,30005,30005,0,2934,1548392,4.33,4.06,5.0
3008342,36147,51,6141,1130,0.0,3.95,6163,0,30005,30005,0,2934,1578460,4.33,4.03,5.0
3008344,68880,58,6139,931,0.0,4.02,6422,0,30027,30027,0,2966,1579188,4.34,4.17,5.0
3008347,69896,65,5874,906,0.0,4.02,6130,0,30003,30003,0,2934,1577524,4.33,4.19,5.0
3008366,42823,68,6041,1146,0.0,3.95,6037,0,30006,30006,0,2966,1646492,4.34,4.01,5.0
3008373,25076,30,5703,1119,0.0,3.96,5706,0,30006,30006,0,2966,1633117,4.34,4.03,5.0
3008380,50928,54,6254,963,0.0,4.0,6392,0,30006,30006,0,2903,1545692,4.33,4.14,5.0
3008382,54415,29,5812,667,0.0,4.09,6051,0,30006,30006,0,2903,1604492,4.33,4.37,5.0
3008384,18807,61,5807,1765,0.0,3.76,5928,0,30004,30004,0,2903,1561092,4.33,3.6,5.0
3008389,15851,59,5663,1571,0.0,3.82,5671,0,30004,30004,0,2903,1549796,4.33,3.73,5.0
3008406,37785,73,5928,1270,0.0,3.91,6082,0,30009,30009,0,2966,1656309,4.34,3.93,5.0
3008410,25484,51,5946,1356,0.0,3.89,6052,0,30002,30002,0,2966,1589092,4.34,3.87,5.0
3008414,47687,54,6263,1040,0.0,3.98,6248,0,30004,30004,0,2903,1556932,4.33,4.09,5.0
3008421,33936,41,5845,939,0.0,4.01,6065,0,30003,30003,0,2966,1572292,4.34,4.16,5.0
3008427,18376,51,6034,1683,0.0,3.79,6004,0,30005,30005,0,2903,1575692,4.33,3.66,5.0
3008432,39156,102,6876,1781,0.0,3.76,6796,0,30004,30004,0,2934,1633022,4.33,3.59,5.0
3008433,16089,80,5416,1807,0.0,3.75,5589,0,30005,30005,0,2934,1540696,4.33,3.58,5.0
3008452,84896,63,6111,974,0.0,4.0,6366,0,30006,30006,0,2903,1706692,4.33,4.14,5.0
3008454,14773,87,5425,2492,0.0,3.55,5474,0,30006,30006,0,2903,1578292,4.33,3.18,5.0
3008462,62299,55,6164,1030,0.0,3.98,6166,0,30005,30005,0,2934,1576992,4.33,4.1,5.0
3008463,26031,56,5815,1320,0.0,3.9,6029,0,30004,30004,0,2934,1568132,4.33,3.89,5.0
3008472,21845,51,5979,1532,0.0,3.84,6060,0,30003,30003,0,2966,1579292,4.34,3.75,5.0
3008474,23504,27,5835,1214,0.0,3.93,5800,0,30003,30003,0,2966,1573092,4.34,3.97,5.0
3008475,24470,30,5779,1164,0.0,3.94,5779,0,30004,30004,0,2934,1544719,4.33,4.0,5.0
3008477,23176,73,5834,1633,0.0,3.8,5997,0,30004,30004,0,2934,1561092,4.33,3.69,5.0
3008483,57690,52,6131,1072,0.0,3.97,6358,0,30004,30004,0,2934,1582092,4.33,4.07,5.0
3008503,32746,69,3279,1529,0.0,3.84,3467,0,30003,30003,0,2966,1576995,4.34,3.76,5.0
3008509,24033,30,5797,1542,0.0,3.83,5794,0,30008,30008,0,2934,1562429,4.33,3.75,5.0
3008514,21631,102,6159,2016,0.0,3.69,6093,0,30005,30005,0,2934,1539222,4.33,3.45,5.0
3008517,17945,66,5545,1668,0.0,3.8,5685,0,30004,30004,0,2966,1575692,4.34,3.67,5.0
3008542,53886,54,5887,973,0.0,4.0,6070,0,30004,30004,0,2903,1572292,4.33,4.14,5.0
3008544,8243,76,5737,3350,0.0,3.29,5623,0,30005,30005,0,2903,1553815,4.33,2.75,5.0
3008547,41241,52,6128,1058,0.0,3.98,6103,0,30002,30002,0,2966,1657692,4.34,4.08,5.0
3008549,18812,60,5457,1786,0.0,3.76,5426,0,30008,30008,0,2903,1527492,4.33,3.59,5.0
3008570,73222,51,5950,917,0.0,4.02,6200,0,30003,30003,0,2934,1650692,4.33,4.18,5.0
3008577,21143,42,6043,1511,0.0,3.84,5997,0,30002,30002,0,2903,1547653,4.33,3.77,5.0
3008579,15686,72,5996,2254,0.0,3.62,5933,0,30008,30008,0,2903,1560092,4.33,3.31,5.0
3008605,83450,53,6200,817,0.0,4.05,6455,0,30011,30011,0,2966,1589092,4.34,4.25,5.0
3008607,25016,66,6026,1668,0.0,3.79,6010,0,30004,30004,0,2934,1663292,4.33,3.67,5.0
3008611,12281,72,6193,2799,0.0,3.45,6077,0,30004,30004,0,2903,1548392,4.33,3.02,5.0
3008672,17265,49,6120,1730,0.0,3.78,6082,0,30004,30004,0,2966,1584792,4.34,3.63,5.0
3008624,25021,36,5872,1185,0.0,3.94,5865,0,30007,30007,0,2903,1539517,4.33,3.99,5.0
3008632,36302,60,3558,1089,0.0,3.97,3864,0,30006,30006,0,2934,1567382,4.33,4.05,5.0
3008635,24192,95,6101,1858,0.0,3.73,6044,0,30004,30004,0,2903,1536382,4.33,3.55,5.0
3008642,33820,28,5946,850,0.0,4.04,6015,0,30009,30009,0,2934,1575692,4.33,4.23,5.0
3008648,23731,90,5452,1722,0.0,3.78,5620,0,30004,30004,0,2966,1566592,4.34,3.63,5.0
3008650,25397,44,5698,1218,0.0,3.93,5830,0,30006,30006,0,2966,1576156,4.34,3.96,5.0
3008661,19960,40,4203,1245,0.0,3.92,4409,0,30002,30002,0,2966,1596092,4.34,3.95,5.0
3008671,83030,63,5928,978,0.0,4.0,6263,0,30006,30006,0,2903,1589092,4.33,4.13,5.0
