ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3489584,66128,55,6021,1028,0.0,3.99,6071,0,30008,30008,0,2934,1556192,4.33,4.1,5.0
3489595,9660,69,5879,2734,0.0,3.48,5870,0,30015,30015,0,2966,1565793,4.34,3.05,5.0
3489600,69398,54,5734,922,0.0,4.02,6035,0,30028,30028,0,2966,1628807,4.34,4.17,5.0
3489624,61214,57,10827,1038,0.0,3.98,10934,4,30002,30006,1,2966,1577968,4.34,4.09,5.0
3489625,57323,53,5714,965,0.0,4.01,6054,0,30011,30011,0,2966,1632200,4.34,4.14,5.0
3489636,42000,23,5927,836,0.0,4.05,6113,0,30004,30004,0,2966,1660492,4.34,4.24,5.0
3489643,25298,51,6287,1372,0.0,3.88,6390,0,30002,30002,0,2934,1612892,4.33,3.86,5.0
3489646,73349,45,5916,866,0.0,4.03,6043,0,30007,30007,0,2903,1556892,4.33,4.22,5.0
3489648,68063,43,6098,854,0.0,4.04,6126,0,30006,30006,0,2903,1549692,4.33,4.22,5.0
3489653,68700,25,6098,624,0.0,4.11,6119,0,30003,30003,0,2903,1565292,4.33,4.4,5.0
3489667,55862,66,5976,1254,0.0,3.92,6126,0,30004,30004,0,2966,1580892,4.34,3.94,5.0
3489726,55887,68,5965,1267,0.0,3.92,6091,0,30003,30003,0,2966,1579592,4.34,3.93,5.0
3489729,65907,25,5906,637,0.0,4.1,6092,0,30004,30004,0,2903,1527492,4.33,4.39,5.0
3489744,35576,46,6080,1083,0.0,3.97,6055,0,30004,30004,0,2966,1565292,4.34,4.06,5.0
3489754,74886,26,6170,582,0.0,4.12,6366,0,30004,30004,0,2903,1580732,4.33,4.43,5.0
3489781,54650,70,5955,1277,0.0,3.91,6101,0,30003,30003,0,2966,1570492,4.34,3.92,5.0
3489805,38864,23,5939,705,0.0,4.09,6115,0,30004,30004,0,2966,1575092,4.34,4.34,5.0
3489841,45471,37,4662,900,0.0,4.02,5441,0,30010,30010,0,2903,1661992,4.33,4.19,5.0
3489863,28878,42,6129,1195,0.0,3.93,6123,0,30005,30005,0,2934,1547092,4.33,3.98,5.0
3489869,20718,36,5558,1196,0.0,3.94,5601,0,30012,30012,0,2966,1576992,4.34,3.98,5.0
3489874,28373,43,5833,1182,0.0,3.94,6042,0,30003,30003,0,2934,1558292,4.33,3.99,5.0
3489878,66249,44,5749,845,0.0,4.04,5993,0,30004,30004,0,2903,1542892,4.33,4.23,5.0
3489883,41079,24,6071,768,0.0,4.07,6135,0,30002,30002,0,2966,1585552,4.34,4.29,5.0
3489884,40035,46,6020,944,0.0,4.01,6080,0,30004,30004,0,2903,1530292,4.33,4.16,5.0
3489888,28224,51,5678,1249,0.0,3.92,5938,0,30004,30004,0,2934,1556892,4.33,3.94,5.0
